Designator,Mid X,Mid Y,Rotation,Layer
D1,46.4326,-45.837,90.0,bottom
D10,103.5826,-55.362,90.0,bottom
D11,122.6326,-60.1245,90.0,bottom
D12,141.6826,-64.887,90.0,bottom
D13,46.4326,-83.937,90.0,bottom
D14,65.4826,-83.937,90.0,bottom
D15,84.5326,-79.1745,90.0,bottom
D16,103.5826,-74.412,90.0,bottom
D17,122.6326,-79.1745,90.0,bottom
D18,141.6826,-83.937,90.0,bottom
D19,46.4326,-102.987,90.0,bottom
D2,65.4826,-45.837,90.0,bottom
D20,65.4826,-102.987,90.0,bottom
D21,84.5326,-98.2245,90.0,bottom
D22,103.5826,-93.462,90.0,bottom
D23,122.6326,-98.2245,90.0,bottom
D24,141.6826,-102.987,90.0,bottom
D25,133.736066,-136.230015,106.0,bottom
D26,152.048101,-141.480907,106.0,bottom
D27,159.924603,-114.013733,106.0,bottom
D28,167.734691,-155.887816,106.0,bottom
D29,172.985582,-137.575781,106.0,bottom
D3,84.5326,-41.0745,90.0,bottom
D30,178.197499,-119.399668,106.0,bottom
D4,103.5826,-36.312,90.0,bottom
D5,122.6326,-41.0745,90.0,bottom
D6,141.6826,-45.837,90.0,bottom
D7,46.4326,-64.887,90.0,bottom
D8,65.4826,-64.887,90.0,bottom
D9,84.5326,-60.1245,90.0,bottom
J1,182.806325,-38.98,270.0,bottom
J2,179.1,-51.53,270.0,bottom
MX1_2,38.0992,-38.07925,180.0,top
MX1,38.0992,-38.07925,0.0,bottom
MX10_2,95.248,-47.624,180.0,top
MX10,95.25,-47.625,0.0,bottom
MX11_2,114.2976,-52.3864,180.0,top
MX11,114.3,-52.3875,0.0,bottom
MX12_2,133.3472,-57.1488,180.0,top
MX12,133.35,-57.15,0.0,bottom
MX13_2,38.0992,-76.1984,180.0,top
MX13,38.1,-76.2,0.0,bottom
MX14_2,57.1488,-76.1984,180.0,top
MX14,57.15,-76.2,0.0,bottom
MX15_2,76.1984,-71.4375,180.0,top
MX15,76.2,-71.4375,0.0,bottom
MX16_2,95.248,-66.6736,180.0,top
MX16,95.25,-66.675,0.0,bottom
MX17_2,114.2976,-71.436,180.0,top
MX17,114.3,-71.4375,0.0,bottom
MX18_2,133.35,-76.2,180.0,top
MX18,133.35,-76.2,0.0,bottom
MX19_2,38.0992,-95.248,180.0,top
MX19,38.1,-95.25,0.0,bottom
MX2_2,57.1488,-38.0992,180.0,top
MX2,57.1488,-38.0992,0.0,bottom
MX20_2,57.15,-95.25,180.0,top
MX20,57.15,-95.25,0.0,bottom
MX21_2,76.1984,-90.4856,180.0,top
MX21,76.2,-90.4875,0.0,bottom
MX22_2,95.248,-85.7232,180.0,top
MX22,95.25,-85.725,0.0,bottom
MX23_2,114.2976,-90.4856,180.0,top
MX23,114.3,-90.4875,0.0,bottom
MX24_2,133.3472,-95.248,180.0,top
MX24,133.35,-95.25,0.0,bottom
MX25_2,127.571674,-126.411839,164.0,top
MX25,127.571619,-126.412031,16.0,bottom
MX26_2,145.883654,-131.662923,164.0,top
MX26,145.883654,-131.662923,16.0,bottom
MX27_2,153.760266,-104.195365,164.0,top
MX27,153.760266,-104.195365,16.0,bottom
MX28_2,161.570354,-146.069448,164.0,top
MX28,161.570243,-146.069832,16.0,bottom
MX29_2,166.821135,-127.757797,164.0,top
MX29,166.821135,-127.757797,16.0,bottom
MX3_2,76.1984,-33.3368,180.0,top
MX3,76.1984,-33.3375,0.0,bottom
MX30_2,172.071916,-109.446146,164.0,top
MX30,172.071916,-109.446146,16.0,bottom
MX4_2,95.25,-28.5744,180.0,top
MX4,95.25,-28.575,0.0,bottom
MX5_2,114.2976,-33.3368,180.0,top
MX5,114.3,-33.3375,0.0,bottom
MX6_2,133.3472,-38.0992,180.0,top
MX6,133.35,-38.1,0.0,bottom
MX7_2,38.0992,-57.1488,180.0,top
MX7,38.1,-57.15,0.0,bottom
MX8_2,57.1488,-57.1488,180.0,top
MX8,57.15,-57.15,0.0,bottom
MX9_2,76.1984,-52.3864,180.0,top
MX9,76.2,-52.3875,0.0,bottom
RZ1,154.33005,-39.86975,0.0,top
